east_utm48,north_utm48,z,strike_slip,dip_slip,net_slip,strike,dip
425406,3506705,-493.30312594124456,-1.6269640999999998e-13,-6.3751357e-13,6.579465584384745e-13,-137,25
416077,3496701,-493.30312594124456,-4.5648295,-3.3051922999999996e-14,4.5648295,-137,25
406748,3486697,-493.30312594124456,7.353702400000001e-14,2.0080269e-15,7.356443482286601e-14,-137,25
397419,3476692,-493.30312594124456,2.8522198e-13,-2.0281547e-14,2.8594216027692315e-13,-137,25
388090,3466688,-493.30312594124456,2.242637e-13,0.90226534,0.90226534,-137,25
378761,3456684,-493.30312594124456,-1.4831445e-15,3.6737019999999996,3.6737019999999996,-137,25
431550,3504093,-496.2289446666198,-0.16702297,-5.5240728e-14,0.16702297,-137,25
425330,3497424,-496.2289446666198,-44.767078000000005,5.2140036e-14,44.767078000000005,-137,25
419111,3490754,-496.2289446666198,-128.77212,-7.005227299999999e-13,128.77212,-137,25
412892,3484085,-496.2289446666198,-57.481836,25.388623000000003,62.83902965328973,-137,25
406672,3477415,-496.2289446666198,5.5280312000000006e-15,-5.0211619e-14,5.0515005805694357e-14,-137,25
400453,3470746,-496.2289446666198,-6.0344148e-14,122.94651999999999,122.94651999999999,-137,25
394233,3464076,-496.2289446666198,-9.9097342e-13,45.671822,45.671822,-137,25
388014,3457407,-496.2289446666198,-8.76191,-8.208152299999999e-14,8.76191,-137,25
381795,3450737,-496.2289446666198,-128.42893999999998,-2.7910293e-13,128.42893999999998,-137,25
435720,3502432,-498.1794905469293,-6.666949499999999,5.702031900000001,8.772763727820774,-137,25
431721,3498144,-498.1794905469293,-2.3325386e-13,10.609301,10.609301,-137,25
427723,3493857,-498.1794905469293,-32.132277,44.972582,55.27220238918885,-137,25
423725,3489569,-498.1794905469293,-150.88253,108.53952,185.86652539129068,-137,25
419727,3485281,-498.1794905469293,-188.07144,161.03201,247.59275996747905,-137,25
415729,3480994,-498.1794905469293,-145.56265,344.48566,373.9770782022049,-137,25
411730,3476706,-498.1794905469293,-109.81709,326.43907,344.41582379230636,-137,25
407732,3472419,-498.1794905469293,-57.253128000000004,313.76104,318.9418612971116,-137,25
403734,3468131,-498.1794905469293,-5.7959482e-14,660.84882,660.84882,-137,25
399736,3463844,-498.1794905469293,-78.947916,618.44097,623.4597074513188,-137,25
395738,3459556,-498.1794905469293,-12.428613,354.77165,354.98928725361037,-137,25
391740,3455269,-498.1794905469293,1.6356040000000002e-13,355.30879,355.30879,-137,25
387741,3450981,-498.1794905469293,-130.96152,168.61766,213.5013699829254,-137,25
383743,3446694,-498.1794905469293,1.1851551999999998e-13,1.8735316e-13,2.2169153128357429e-13,-137,25
438426,3501244,-499.47985443896107,-2.6225186000000003,-1.4771283000000002e-12,2.6225186000000003,-137,25
435760,3498386,-499.47985443896107,1.9468811999999998e-12,-1.150024e-12,2.2611726178002067e-12,-137,25
433095,3495528,-499.47985443896107,1.8701142e-13,-1.1639712e-12,1.1788987342600111e-12,-137,25
430429,3492669,-499.47985443896107,2.2044928e-13,57.362963,57.362963,-137,25
427764,3489811,-499.47985443896107,-59.957814,127.4462,140.8455656174471,-137,25
425098,3486953,-499.47985443896107,-190.71749,195.96077,273.4479555068807,-137,25
422433,3484094,-499.47985443896107,-295.34994,175.48078999999998,343.54780557737183,-137,25
419767,3481236,-499.47985443896107,-170.174,452.68948,483.6186054926655,-137,25
417102,3478377,-499.47985443896107,-197.36796999999999,584.16242,616.6034775462894,-137,25
414436,3475519,-499.47985443896107,-180.50139,561.13117,589.4479974836636,-137,25
411771,3472661,-499.47985443896107,-148.05673000000002,497.39989,518.9676732420864,-137,25
409105,3469802,-499.47985443896107,-95.420799,467.02189000000004,476.6702997051217,-137,25
406440,3466944,-499.47985443896107,-75.111627,462.92588,468.9798789760191,-137,25
403774,3464086,-499.47985443896107,-53.566225,998.15173,999.5880234190201,-137,25
401109,3461227,-499.47985443896107,-29.424009,1104.7711,1105.1628638806328,-137,25
398444,3458369,-499.47985443896107,4.0884121e-13,498.50611,498.50611,-137,25
395778,3455511,-499.47985443896107,-0.61993533,344.59837999999996,344.59893763393666,-137,25
393113,3452652,-499.47985443896107,-16.074394,415.08544,415.3965679233049,-137,25
390447,3449794,-499.47985443896107,8.5700499e-13,1130.1447,1130.1447,-137,25
387782,3446935,-499.47985443896107,-1.5391785e-13,-2.8227625e-13,3.215129637552504e-13,-137,25
385116,3444077,-499.47985443896107,-8.587302199999999e-14,15.950558,15.950558,-137,25
